pack_id,user_id,course_id,pack_name,created_at,question_count,topics,difficulties,question_ids,watermark,status
PACK_0a9b9dc42c4f466898d508e1,admin1,RN_MED,My Medicine 1,2026-01-02T07:28:16.171Z,100,"[""__ALL_TOPICS__""]","[""Easy"",""Hard"",""Moderate""]","[""RN_MED-S3-75"",""RN_MED-S3-89"",""RN_MED-S4-88"",""RN_MED-S5-29"",""RN_MED-S4-99"",""RN_MED-S4-177"",""RN_MED-S4-38"",""RN_MED-S2-13"",""RN_MED-S4-115"",""RN_MED-S2-52"",""RN_MED-S4-66"",""RN_MED-S2-128"",""RN_MED-S2-162"",""RN_MED-S1-47"",""RN_MED-S1-167"",""RN_MED-S5-90"",""RN_MED-S4-143"",""RN_MED-S4-135"",""RN_MED-S2-142"",""RN_MED-S1-43"",""RN_MED-S3-9"",""RN_MED-S3-22"",""RN_MED-S3-87"",""RN_MED-S4-132"",""RN_MED-S4-19"",""RN_MED-S1-124"",""RN_MED-S5-110"",""RN_MED-S3-115"",""RN_MED-S5-157"",""RN_MED-S1-141"",""RN_MED-S5-8"",""RN_MED-S5-61"",""RN_MED-S1-145"",""RN_MED-S2-48"",""RN_MED-S4-33"",""RN_MED-S4-11"",""RN_MED-S2-177"",""RN_MED-S4-1"",""RN_MED-S3-139"",""RN_MED-S2-92"",""RN_MED-S1-175"",""RN_MED-S1-71"",""RN_MED-S3-166"",""RN_MED-S3-84"",""RN_MED-S1-32"",""RN_MED-S4-125"",""RN_MED-S1-64"",""RN_MED-S3-38"",""RN_MED-S5-45""]","{""pack_id"":""PACK_0a9b9dc42c4f466898d508e1"",""user_id"":""admin1"",""owner_name"":""Samuel Owusu-Ansah"",""owner_email_mask"":""myb***@gmail.com"",""owner_label"":""Prepared for: Samuel Owusu-Ansah (myb***@gmail.com)""}",active
PACK_0027140153ff4fa4a0208f70,admin1,RN_MED,My Medicine 2,2026-01-02T07:40:13.666Z,100,"[""__ALL_TOPICS__""]","[""Easy"",""Hard"",""Moderate""]","[""RN_MED-S5-47"",""RN_MED-S1-9"",""RN_MED-S3-24"",""RN_MED-S2-11"",""RN_MED-S4-72"",""RN_MED-S4-37"",""RN_MED-S5-13"",""RN_MED-S3-104"",""RN_MED-S4-106"",""RN_MED-S3-148"",""RN_MED-S5-9"",""RN_MED-S1-31"",""RN_MED-S2-4"",""RN_MED-S1-135"",""RN_MED-S4-113"",""RN_MED-S1-53"",""RN_MED-S2-125"",""RN_MED-S4-32"",""RN_MED-S1-6"",""RN_MED-S3-16"",""RN_MED-S3-143"",""RN_MED-S1-155"",""RN_MED-S4-7"",""RN_MED-S2-26"",""RN_MED-S1-60"",""RN_MED-S2-104"",""RN_MED-S1-51"",""RN_MED-S1-92"",""RN_MED-S1-166"",""RN_MED-S4-39"",""RN_MED-S3-136"",""RN_MED-S2-149"",""RN_MED-S1-140"",""RN_MED-S2-2"",""RN_MED-S3-79"",""RN_MED-S4-111"",""RN_MED-S4-15"",""RN_MED-S5-161"",""RN_MED-S1-49"",""RN_MED-S2-126"",""RN_MED-S2-118"",""RN_MED-S3-171"",""RN_MED-S5-109"",""RN_MED-S1-170"",""RN_MED-S1-94"",""RN_MED-S3-156"",""RN_MED-S2-6"",""RN_MED-S4-162"",""RN_MED-S5-114""]","{""pack_id"":""PACK_0027140153ff4fa4a0208f70"",""user_id"":""admin1"",""owner_name"":""Samuel Owusu-Ansah"",""owner_email_mask"":""myb***@gmail.com"",""owner_label"":""Prepared for: Samuel Owusu-Ansah (myb***@gmail.com)""}",active
PACK_c9434faf099442b28c450d1e,admin1,RN_SURG,My Surgery 1,2026-01-04T21:43:16.762Z,100,"[""__ALL_TOPICS__""]","[""Easy"",""Hard"",""Moderate""]","[""RN_SURG-S5-123"",""RN_SURG-S3-160"",""RN_SURG-S5-34"",""RN_SURG-S1-32"",""RN_SURG-S3-16""]","{""pack_id"":""PACK_c9434faf099442b28c450d1e"",""user_id"":""admin1"",""owner_name"":""Samuel Owusu-Ansah"",""owner_email_mask"":""myb***@gmail.com"",""owner_label"":""Prepared for: Samuel Owusu-Ansah (myb***@gmail.com)""}",active
PACK_d34f7466936c4b7294a213ba,admin1,RN_MED,My Surgery 2,2026-01-12T15:14:21.309Z,100,"[""__ALL_TOPICS__""]","[""Easy"",""Hard"",""Moderate""]","[""RN_MED-S4-144"",""RN_MED-S5-116"",""RN_MED-S1-76"",""RN_MED-S2-151"",""RN_MED-S4-74"",""RN_MED-S3-31"",""RN_MED-S4-42"",""RN_MED-S2-157""]","{""pack_id"":""PACK_d34f7466936c4b7294a213ba"",""user_id"":""admin1"",""owner_name"":""Samuel Owusu-Ansah"",""owner_email_mask"":""myb***@gmail.com"",""owner_label"":""Prepared for: Samuel Owusu-Ansah (myb***@gmail.com)""}",active
